'meeting_id';'meeting_date';'attendee_id'
27657;'2008-05-19 03:00:00';6240
27658;'2012-12-13 03:00:00';2701
27659;'2011-07-02 03:00:00';6294
27660;'2006-11-18 02:00:00';730
27661;'2004-10-15 03:00:00';591
27662;'2002-06-27 03:00:00';1911
27663;'1977-07-05 03:00:00';6798
27664;'1991-04-14 03:00:00';3756
27665;'1983-11-15 03:00:00';1488
27666;'2005-09-29 03:00:00';318
27667;'1987-04-23 04:00:00';9669
27668;'1976-06-22 03:00:00';6497
27669;'2012-05-19 03:00:00';8008
27670;'1988-11-12 03:00:00';6715
27671;'2007-06-06 03:00:00';2941
27672;'1990-08-09 03:00:00';135
27673;'2007-03-09 02:00:00';9831
27674;'1987-05-10 04:00:00';6259
27675;'1974-09-05 03:00:00';8339
27676;'2002-05-12 03:00:00';4438
27677;'1991-12-24 02:00:00';2532
27678;'1975-09-07 03:00:00';5729
27679;'1984-12-18 03:00:00';4395
27680;'2012-01-28 03:00:00';6433
27681;'2001-03-02 02:00:00';1715
27682;'1992-07-25 03:00:00';7710
27683;'2005-03-24 02:00:00';7
27684;'2001-11-04 02:00:00';2404
27685;'2014-09-13 03:00:00';4865
27686;'1983-03-18 03:00:00';4139
27687;'1984-01-15 03:00:00';7791
27688;'2014-11-02 02:00:00';5845
27689;'1991-10-26 02:00:00';2324
27690;'2015-10-08 02:00:00';9395
27691;'1987-03-22 03:00:00';3768
27692;'2005-01-22 02:00:00';6948
27693;'1998-08-28 03:00:00';9533
27694;'1994-10-27 02:00:00';1852
27695;'2006-02-09 02:00:00';47
27696;'1999-08-10 03:00:00';3853
27697;'1994-02-20 02:00:00';1735
27698;'1993-06-24 03:00:00';6692
27699;'1970-03-16 03:00:00';7773
27700;'2004-04-24 03:00:00';6962
27701;'1989-06-13 03:00:00';983
27702;'2014-03-06 03:00:00';885
27703;'1978-12-02 03:00:00';7010
27704;'1984-11-09 03:00:00';3075
27705;'1993-06-07 03:00:00';6699
27706;'1990-06-08 03:00:00';3987
27707;'2009-09-05 03:00:00';5323
27708;'2008-11-24 02:00:00';8487
27709;'1987-08-16 04:00:00';1645
27710;'1978-07-08 03:00:00';8426
27711;'1978-07-22 03:00:00';7117
27712;'2009-08-08 03:00:00';1218
27713;'1991-09-11 03:00:00';1871
27714;'1984-06-21 04:00:00';4050
27715;'2008-12-07 02:00:00';6073
27716;'1978-12-15 03:00:00';6911
27717;'1994-11-21 02:00:00';8286
27718;'1990-06-11 03:00:00';4029
27719;'1988-12-26 03:00:00';5928
27720;'1985-09-12 04:00:00';3845
27721;'2017-03-11 02:00:00';2897
27722;'1985-06-24 04:00:00';677
